invoice_number,mis_date,inquiry_number,company,report_total,month_code,order_number
20610048,15-May-18,19202,Troikaa Pharma,25486,201805,10210179
20210884,05-Sep-18,26444,Cummins,14556.82,201809,10210858
20210340,11-Jun-18,18642,Cummins,87680,201806,10210124
20610106,05-Jun-18,19917,IR,134931,201806,10610095
20210363,13-Jun-18,20910,Cummins,7103.2,201806,10210361
20610133,15-Jun-18,20088,GHCL,11186,201806,10610109
20210328,07-Jun-18,20943,John Energy,1648525,201806,10210339
20210477,02-Jul-18,20944,Beckman Coulter,2500,201807,10210398
20610127,13-Jun-18,16447,GE Power Systems,550,201806,99999088
20210334,08-Jun-18,18205,GE,183380,201806,10210255
20610112,06-Jun-18,20785,IR,1857,201806,10610098
20610155,21-Jun-18,21080,GHCL,17295,201806,10610153
20610224,06-Jul-18,20929,GHCL,6573,201807,10610120
20710035,07-Apr-18,16186,GE Power Systems,100440,201804,99999052
20210547,13-Jul-18,16309,Henkel,94736.84,201807,2002818
20710024,07-Apr-18,18911,GE Power Systems,37800,201804,10610006
20710068,23-Apr-18,18715,GE Power Systems,37044,201804,99999025
20210120,26-Apr-18,15029,Galiakotwala,7246634.2,201804,10210128
20210332,08-Jun-18,19903,Cummins,23082.4,201806,10210337
20610111,06-Jun-18,20785,IR,14856,201806,10610098
20211088,04-Oct-18,27699,Piramal,9038,201810,10211018
20210550,14-Jul-18,21356,Godrej,1300,201807,10210447
20210946,14-Sep-18,25129,Henkel,3410,201809,10210537
20210335,08-Jun-18,18761,Cummins,33824.3,201806,10210253
20210103,23-Apr-18,19595,JSE,1259687.95,201804,10210102
20210767,20-Aug-18,25548,IndiaFIRST Robotics,5364.59,201808,10210676
20610520,05-Oct-18,25225,GE Power Systems,2250,201810,10610255
20210347,11-Jun-18,19352,Deep Industries,15600,201806,10410001
20210346,11-Jun-18,16033,Cummins,4893.08,201806,99999035
20210261,25-May-18,19301,AMAT,5960,201805,10210244
20610223,06-Jul-18,25130,GHCL,3097.04,201807,10610192
20210064,18-Apr-18,19357,GE,77366,201804,10210055
20210256,23-May-18,17058,Cummins,132251.82,201805,10210101
20210345,11-Jun-18,20601,Henkel,13366.66,201806,10210305
20610109,06-Jun-18,20923,IR,2200,201806,10610110
20210360,13-Jun-18,19754,Cummins,27000,201806,10210300
20610244,12-Jul-18,21250,Asahi India Glass,1003,201807,10610200
20211049,29-Sep-18,26780,Henkel,8947.37,201809,10210948
20610124,11-Jun-18,18517,GE Power Systems,43050,201806,10300060
20210417,22-Jun-18,20813,GE,379419,201806,10210351
20610222,06-Jul-18,21019,GHCL,506,201807,10610125
20610113,06-Jun-18,20792,GE Power Systems,2140,201806,10610102
20210065,18-Apr-18,10872,ONGC,28710000,201804,10210043
20210353,12-Jun-18,17897,Stanley Engineered,1700,201806,10200196
20610126,12-Jun-18,20058,GE Power Systems,1584,201806,10610088
20210183,11-May-18,19829,AMAT,90641.28,201805,10210166
20210073,19-Apr-18,19359,JINDAL,8505,201804,10210076
20610030,04-May-18,19755,GE Power Systems,1368.42,201805,10610058
20210011,06-Apr-18,16665,GE,2850,201804,99999032
20210255,23-May-18,18594,Cummins,6325.29,201805,10210186
20210013,06-Apr-18,18784,GE,2800,201804,10200198
20610118,07-Jun-18,20786,IR,10500,201806,10610106
20210171,09-May-18,19608,Henkel,16675.53,201805,10210142
20210768,20-Aug-18,25643,AMAT,152659.57,201808,10210611
20210791,23-Aug-18,25641,AMAT,54680.83,201808,10210642
20210913,10-Sep-18,26287,Henkel,6800,201809,10210761
20910047,16-Aug-18,20916,Henkel,6769,201808,10910036
20211103,05-Oct-18,25765,Cummins,26662.48,201810,10210685
20610035,09-May-18,18814,GE Power Systems,2600,201805,10300078
20610122,08-Jun-18,20785,IR,2000,201806,10610098
20210172,09-May-18,19290,Henkel,98128.42,201805,10210082
20610034,09-May-18,13035,GE Power Systems,20371.05,201805,99999036
20210357,13-Jun-18,19931,SSI,240000,201806,10210233
20210358,13-Jun-18,19626,SSI,84736.2,201806,10210190
20210359,13-Jun-18,20886,Henkel,70500,201806,10210360
20210050,13-Apr-18,15005,KazStroy,12926290.31,201804,10210074
20210415,22-Jun-18,18684,GE,41650,201806,10210314
20210534,12-Jul-18,21310,Godrej,2253.01,201807,10210457
20210448,27-Jun-18,20892,Adino Telecom,1585,201806,10210393
20610135,15-Jun-18,20928,IR,48400,201806,10610130
20610136,15-Jun-18,19705,IR,47808,201806,10610100
20211274,30-Oct-18,20029,GE,169920,201810,10210399
20610128,13-Jun-18,19847,GE Power Systems,2970.6,201806,10610113
20610129,13-Jun-18,19847,GE Power Systems,2970.6,201806,10610113
20610221,06-Jul-18,21023,GHCL,6049,201807,10610123
20210590,23-Jul-18,20995,Henkel,67500,201807,10210345
20210365,14-Jun-18,21040,Bharat Container,6118,201806,10210382
20210366,14-Jun-18,20073,Bharat Container,58000,201806,10210270
20610137,15-Jun-18,21141,IR,2800,201806,10610137
20211132,09-Oct-18,27306,Cummins,5795.46,201810,10210961
20610226,06-Jul-18,21033,GHCL,509,201807,10610128
20610237,11-Jul-18,21123,GHCL,4772,201807,10610177
20210078,20-Apr-18,18746,Henkel,7500,201804,10210021
20710072,01-May-18,17352,John Energy,2986684,201805,10710001
20710073,01-May-18,17355,John Energy,3231579.69,201805,10610041
20710074,01-May-18,17425,John Energy,3282376.27,201805,10610134
20610233,07-Jul-18,21304,IR,37447.8,201807,10610198
20210752,16-Aug-18,26131,Beckman Coulter,26208.75,201808,10210714
20710075,11-Jun-18,18373,John Energy,642856.78,201806,10610044
20710076,11-Jun-18,18374,John Energy,642856.78,201806,10610046
20710077,11-Jun-18,18375,John Energy,642856.74,201806,10610045
20710078,11-Jun-18,18376,John Energy,642856.78,201806,10610136
20710079,11-Jun-18,18377,John Energy,642856.78,201806,10610051
20710080,11-Jun-18,18378,John Energy,642856.78,201806,10710002
20710081,11-Jun-18,18379,John Energy,642856.78,201806,10610080
20210596,24-Jul-18,21275,Covestro,8500,201807,10210600
20210372,14-Jun-18,20943,John Energy,1648525,201806,10210339
20210234,21-May-18,19445,Cummins,10895,201805,10210159
20210084,20-Apr-18,17883,GE,16500,201804,10200135
20210145,03-May-18,18590,AMAT,291140.43,201805,10200143
20610232,07-Jul-18,20038,IR,25588.23,201807,10610164
20210047,12-Apr-18,15529,GE,11350,201804,99999046
20210151,04-May-18,19722,Henkel,3753,201805,10210141
20210152,04-May-18,8480,Voltas,11212.23,201805,10210041
20210153,04-May-18,19524,Demosha Chemicals,9546,201805,10210091
20210154,04-May-18,19289,C and E Ltd.,8225,201805,10210047
20210588,21-Jul-18,10541,Pragati Power,2729458.74,201807,10200222
20210156,05-May-18,18356,Henkel,22340.64,201805,10200099
20610231,07-Jul-18,18549,IR,63020,201807,10610156
20610028,04-May-18,19717,GE Power Systems,9390,201805,10610052
20610025,04-May-18,19717,GE Power Systems,44000,201805,10610052
20610029,04-May-18,19457,GE,775.2,201805,10610036
20610031,04-May-18,19791,GE Power Systems,3800,201805,10610061
20710009,04-Apr-18,18855,IR,2333.4,201804,10300088
20610131,15-Jun-18,19866,GE Power Systems,242285,201806,10610133
20210789,23-Aug-18,25610,AMAT,7300,201808,10210683
20610256,16-Jul-18,20631,GHCL,22827,201807,10610129
20210057,17-Apr-18,18802,AMAT,5623.52,201804,10210010
20210374,15-Jun-18,20714,Johnson Matthey Chem. India,66818.18,201806,10210310
20210037,11-Apr-18,18658,Hyosung,2000,201804,99999092
20210167,09-May-18,16665,GE,5833.33,201805,99999032
20610134,15-Jun-18,21134,GE Power Systems,7600,201806,10610132
20610235,11-Jul-18,19515,IR,66250,201807,10610201
20210318,06-Jun-18,20076,Godrej,15555,201806,10210272
20610238,11-Jul-18,20109,IR,117193.4,201807,10610169
20610243,12-Jul-18,21501,IR,13826,201807,10610190
20210337,11-Jun-18,20145,Cummins,47663.9,201806,10210288
20610509,04-Oct-18,25634,GE Power Systems,31500,201810,10610241
20610245,12-Jul-18,18719,IR,197650,201807,10610086
20710025,09-Apr-18,18737,GE Power Systems,66400,201804,10300072
20610429,07-Sep-18,26855,Inarco,7500,201809,10610358
20610257,17-Jul-18,25253,IR,6440,201807,10610199
20210206,18-May-18,19562,JINDAL,43359.55,201805,10210144
20210371,14-Jun-18,20168,Cummins,16453.8,201806,10210344
20610521,05-Oct-18,25748,GE,24508,201810,10610390
20210600,24-Jul-18,25359,JSE,1369836.92,201807,10210554
20610259,17-Jul-18,20799,IR,27300,201807,10610210
20210058,17-Apr-18,17721,Piramal,7560,201804,99999051
20910120,02-Nov-18,28308,Graziano,2341440,201811,10910142
20210382,15-Jun-18,10649,GAIL,258985,201806,10210392
20210038,11-Apr-18,18655,Hyosung,600,201804,99999091
20210376,15-Jun-18,19316,Cummins,16675,201806,10210329
20610140,18-Jun-18,19229,GE Power Systems,39140,201806,10610023
20610138,16-Jun-18,19967,GE Power Systems,30637,201806,10610101
20610139,16-Jun-18,20855,GE Power Systems,5642,201806,10610105
20210384,16-Jun-18,11019,Fernas,445592,201806,2000609
20610266,18-Jul-18,25491,IR,19706,201807,10610218
20210045,12-Apr-18,18861,Piramal,8046,201804,10200226
20610116,07-Jun-18,20917,GE Power Systems,17000,201806,10610111
20610114,06-Jun-18,20792,GE Power Systems,2140,201806,10610102
20610115,06-Jun-18,20792,GE Power Systems,2140,201806,10610102
20610144,18-Jun-18,20611,GE Power Systems,8997,201806,10610112
20210437,26-Jun-18,17546,Beckman Coulter,1516952,201806,10210053
20210389,18-Jun-18,19718,Henkel,70000,201806,10210152
20210390,18-Jun-18,18835,Henkel,290023.2,201806,10210138
20210387,18-Jun-18,20903,Henkel,94500,201806,10210334
20610537,09-Oct-18,15515,GE Power Systems,5593,201810,99999016
20610145,18-Jun-18,16566,GE Power Systems,1274648,201806,10300085
20610149,19-Jun-18,18387,GE Power Systems,33198,201806,10300077
20610147,19-Jun-18,10491,GE Power Systems,58750,201806,10610147
20610141,18-Jun-18,20792,GE Power Systems,2140,201806,10610102
20610142,18-Jun-18,20792,GE Power Systems,2140,201806,10610102
21210058,24-Aug-18,16595,Johoku Manufacturing,8327.44,201808,11210007
20210579,19-Jul-18,21269,VVF India,6150.27,201807,10210438
20610163,22-Jun-18,20792,GE Power Systems,2140,201806,10610102
20210772,20-Aug-18,26289,Truevalue,1144.05,201808,10210749
20610261,18-Jul-18,21508,IR,15660,201807,10610183
20610150,20-Jun-18,21202,Plasser India,37999,201806,10610143
20610160,22-Jun-18,21202,Plasser India,2700,201806,10610143
20610169,25-Jun-18,20792,GE Power Systems,2140,201806,10610102
20610170,25-Jun-18,20792,GE Power Systems,2140,201806,10610102
20210402,20-Jun-18,20712,Henkel,33743.16,201806,10210283
20210056,17-Apr-18,19198,Piramal,4560,201804,10210002
20610143,18-Jun-18,20917,GE Power Systems,25000,201806,10610111
20610333,09-Aug-18,26151,GHCL,2629.2,201808,10610281
20210406,20-Jun-18,21066,Piramal,2560,201806,10210369
20211337,13-Nov-18,27389,Knexir,4272.96,201811,10211111
20610475,19-Sep-18,19848,GE Power Systems,15600,201809,10610187
20210248,22-May-18,19991,Piramal,1488,201805,10210202
20210343,11-Jun-18,19826,GE,6000,201806,10210312
20610152,20-Jun-18,21161,GE Power Systems,75921.05,201806,10610149
20210051,17-Apr-18,8480,Voltas,27307.32,201804,10210041
20610153,20-Jun-18,17982,GE Power Systems,15159.6,201806,99999044
20210409,20-Jun-18,21171,Henkel,98417.9,201806,10210400
20210272,28-May-18,19467,Cummins,490000,201805,10210222
20210411,21-Jun-18,19556,Indian Navy,43686.94,201806,10210311
20210412,21-Jun-18,19570,Indian Navy,47310.41,201806,10210289
20610154,21-Jun-18,17982,GE Power Systems,15159.6,201806,99999044
20610586,22-Oct-18,25240,IR,11142,201810,10610246
20210429,25-Jun-18,21156,AMAT,3620,201806,10210388
20610156,21-Jun-18,18715,GE Power Systems,24696,201806,99999025
20610157,21-Jun-18,18715,GE Power Systems,12348,201806,99999025
21210024,10-Jul-18,21193,Piramal,47612.5,201807,11210027
20610158,22-Jun-18,18742,GE Power Systems,19425,201806,10610161
20210535,12-Jul-18,19531,Cummins,6550,201807,10210340
20210490,05-Jul-18,21174,Nhava Sheva,6794.05,201807,10210454
20610334,09-Aug-18,26161,GHCL,108.8,201808,10610282
20210486,05-Jul-18,19923,Hyosung,2000,201807,10210191
20210133,02-May-18,8480,Voltas,1885.2,201805,10210041
20210131,02-May-18,8480,Voltas,2307.74,201805,10210041
20210750,16-Aug-18,19825,GE,7500,201808,10210583
21210032,19-Jul-18,21302,Piramal,8366.25,201807,11210037
20210362,13-Jun-18,20685,Husco,2750,201806,10210299
20210377,15-Jun-18,20827,Husco,3215.18,201806,10210379
20210299,04-Jun-18,20717,Vako Seals,4200,201806,10210291
20610188,28-Jun-18,20792,GE Power Systems,2140,201806,10610102
20210444,26-Jun-18,21413,IEC-TSL,3368421.05,201806,10211235
20610203,04-Jul-18,20792,GE Power Systems,2140,201807,10610102
20610402,31-Aug-18,25744,GHCL,32946.06,201808,10610253
20210232,21-May-18,19225,Cummins,42000,201805,10210136
20210852,31-Aug-18,25951,VVF India,13222.28,201808,10210796
20211107,05-Oct-18,27187,Talis Valves,1290.62,201810,10210987
20210430,25-Jun-18,21050,AMAT,10000,201806,10210435
20210341,11-Jun-18,20990,Piramal,150162.98,201806,10210347
20210333,08-Jun-18,19793,GE,80760.46,201806,10210243
20210427,25-Jun-18,21225,Adino Telecom,5846.1,201806,10210418
20210911,08-Sep-18,26689,Cummins,7388.88,201809,10210857
20210441,26-Jun-18,19521,AMAT,138392.24,201806,10210122
20210851,31-Aug-18,25038,PNP Maritime,4250,201808,10210806
21210073,09-Oct-18,26981,Piramal,921.38,201810,11210061
20210642,30-Jul-18,21122,AMAT,32367.36,201807,10210558
20610204,04-Jul-18,20792,GE Power Systems,2140,201807,10610102
20610205,04-Jul-18,20792,GE Power Systems,2140,201807,10610102
20610172,25-Jun-18,19847,GE Power Systems,2970.6,201806,10610113
20610227,06-Jul-18,21209,GHCL,3533.5,201807,10610141
20210330,07-Jun-18,20906,Bharat Container,7476,201806,10210317
20210561,17-Jul-18,21174,Nhava Sheva,8291.67,201807,10210454
20610174,25-Jun-18,15515,GE Power Systems,5593,201806,99999016
20610175,25-Jun-18,19847,GE Power Systems,2970.6,201806,10610113
20610376,24-Aug-18,26224,GE,1795.2,201808,10610285
20610176,26-Jun-18,20024,GE Power Systems,2498,201806,10610084
20610225,06-Jul-18,21313,GHCL,407,201807,10610159
20211141,10-Oct-18,26301,AMAT,137931.76,201810,10210786
20210204,17-May-18,17457,Cummins,5847.06,201805,10200036
21210025,10-Jul-18,21278,Piramal,10300,201807,11210030
20210368,14-Jun-18,19391,Cummins,1727.04,201806,10210331
20210342,11-Jun-18,19752,Piramal,92356.2,201806,10210343
20210369,14-Jun-18,10831,Cummins,8880,201806,99999076
20210445,27-Jun-18,21061,Cummins,27400,201806,10210428
20210426,25-Jun-18,19810,Duroshox,2750,201806,10210371
20210509,07-Jul-18,21366,Duroshox,14044.94,201807,10210480
20210442,26-Jun-18,21186,Adino Telecom,9150,201806,10210444
20610215,06-Jul-18,25097,IEC-TSL,3368421.05,201807,10610509
20210733,14-Aug-18,25629,BEL Optronic,3942.53,201808,10210712
20210818,28-Aug-18,25879,Henkel,800,201808,10210776
20610381,27-Aug-18,25567,GE,20634,201808,10610280
20210220,18-May-18,19971,Entrues Business,17085.12,201805,10210197
20610180,27-Jun-18,20981,GE Power Systems,15987,201806,10610138
20210217,18-May-18,18906,Stanley Engineered,22925,201805,10200231
20610182,27-Jun-18,21070,John Energy,117500,201806,10610127
20210508,07-Jul-18,20106,Cummins,8100,201807,10210468
20210525,11-Jul-18,20831,Cummins,28000,201807,10210431
20610185,27-Jun-18,18363,John Energy,21250,201806,10610059
20610395,30-Aug-18,26380,GE,4500,201808,10610334
20210565,17-Jul-18,19716,Cummins,19706,201807,10210482
20210168,09-May-18,18689,Henkel,94736.84,201805,210200480
20610186,27-Jun-18,20942,GE Power Systems,85000,201806,10610139
20210452,27-Jun-18,20488,Sukan,5700,201806,10210275
20610630,31-Oct-18,28603,GE,266495,201810,10610495
20610187,28-Jun-18,18814,GE Power Systems,1300,201806,10610152
20610206,04-Jul-18,20792,GE Power Systems,2140,201807,10610102
20211247,26-Oct-18,28104,AMAT,11144.57,201810,10211138
20210703,09-Aug-18,20983,Henkel,5218,201808,10210670
20210771,20-Aug-18,21163,Cummins,32372,201808,10210629
20210443,26-Jun-18,19209,Henkel,3684,201806,10210189
20210459,28-Jun-18,21241,Henkel,23188,201806,10210433
20210004,04-Apr-18,19231,JSE,1916498.82,201804,10210009
20610220,06-Jul-18,25071,Nivea India,8750,201807,10610189
20210461,29-Jun-18,15029,Galiakotwala,6072522.24,201806,10210328
20210282,30-May-18,20146,Henkel,98289.48,201805,10210252
20610191,29-Jun-18,20166,GE Power Systems,177024,201806,10610158
20210214,23-May-18,18532,Henkel,45074,201805,10210037
20910013,14-Jun-18,21130,Bharti Airtel,2076,201806,10910034
20610480,19-Sep-18,26789,Nivea India,21000,201809,10610349
20211133,09-Oct-18,25819,Cummins,104060,201810,10210903
20210507,07-Jul-18,19888,Cummins,125000,201807,10210234
20210709,09-Aug-18,25014,GAIL,91985,201808,10210715
20910017,19-Jun-18,21026,Compass India Support,117765.64,201806,10910035
20610516,04-Oct-18,25527,GHCL,5889,201810,10610227
20210464,30-Jun-18,20995,Henkel,67500,201806,10210345
21210026,11-Jul-18,21077,Piramal,110,201807,11210019
20610247,13-Jul-18,21381,Nivea India,24429.62,201807,10610211
20210623,27-Jul-18,21191,Beckman Coulter,17666,201807,10210625
20610351,16-Aug-18,25593,Nivea India,6333.3,201808,10610264
20210178,29-May-18,19503,GE,13750,201805,10210153
20210660,02-Aug-18,21099,Covestro,198600,201808,10210560
20210364,13-Jun-18,20627,GE,41625,201806,10210301
20210422,22-Jun-18,18668,GE,275000,201806,10210335
20210361,13-Jun-18,21046,Piramal,69409.8,201806,10210358
20210468,30-Jun-18,21003,Henkel,32231.56,201806,10210372
20210455,28-Jun-18,18668,GE,65178.75,201806,10210335
20210470,30-Jun-18,21093,SSI,23368,201806,10210395
20910003,30-May-18,19909,Bharti Airtel,2768,201805,11010002
20210951,18-Sep-18,25497,HUL,327800,201809,10210703
20210463,29-Jun-18,20708,Cummins,43286.36,201806,10210349
20910044,14-Aug-18,26122,Covestro,3500,201808,10910067
20210746,16-Aug-18,19448,Johnson Matthey Chem. India,35000,201808,10210510
20210760,17-Aug-18,25129,Henkel,2592,201808,10210537
20910056,24-Aug-18,25754,Covestro,7500,201808,10910060
20610200,02-Jul-18,21270,GE Power Systems,3789473,201807,10610154
20211134,09-Oct-18,26523,Henkel,9417.65,201810,10210935
21010015,24-Apr-18,18038,HSIL,7500,201804,10910027
20210196,29-May-18,19198,Piramal,1575,201805,10210002
20210584,20-Jul-18,20064,AMAT,13424.03,201807,10210528
20211171,13-Oct-18,21458,Henkel,62000.28,201810,10211015
20210456,28-Jun-18,21162,Cummins,11463.4,201806,10210441
20210732,14-Aug-18,21226,Duroshox,41500,201808,10210650
20210237,21-May-18,19829,AMAT,60427.52,201805,10210166
20211116,08-Oct-18,27300,Henkel,4787.23,201810,10211017
20211223,23-Oct-18,27076,Cummins,3522.75,201810,10211115
20211117,08-Oct-18,26777,AMAT,1200,201810,10210845
20210338,11-Jun-18,20680,GE,390000,201806,10210338
20910018,21-Jun-18,20934,Crosslay Remedies,72080,201806,10910029
20210482,04-Jul-18,21087,Henkel,40036.8,201807,10210458
20210259,25-May-18,18750,DHL,205089.74,201805,10210064
20610210,04-Jul-18,19878,GE Power Systems,3520,201807,10610116
20210484,04-Jul-18,20918,Henkel,20684.25,201807,10210455
20610211,04-Jul-18,21442,IR,6440,201807,10610179
20210755,17-Aug-18,26121,Duroshox,7230,201808,10210701
20610178,26-Jun-18,21121,ABB India,845,201806,10610140
20210308,05-Jun-18,18800,Godrej,3425,201806,10210227
20210277,30-May-18,19346,Cummins,7500,201805,10210075
207100008,04-Apr-18,12624,GE Power Systems,2140,201804,2003641
20610213,05-Jul-18,21349,GE,15750,201807,10610186
20210488,05-Jul-18,21092,SSI,18947.37,201807,10210477
20210351,12-Jun-18,8348,McNally,1616577.55,201806,10200237
20210776,20-Aug-18,26287,Henkel,3290,201808,10210761
20210440,26-Jun-18,21060,Cummins - Recon India,32800,201806,10210422
20210492,05-Jul-18,20736,SSI,18694.16,201807,10210473
20610214,05-Jul-18,19866,GE Power Systems,57575,201807,10610133
20211308,03-Nov-18,27872,Stanley Engineered,94975,201811,10211196
20610216,06-Jul-18,19878,GE Power Systems,7040,201807,10610116
20210494,06-Jul-18,25117,Henkel,14910.55,201807,10210485
20210495,06-Jul-18,21244,Henkel,49790.06,201807,10210494
20210159,08-May-18,17619,Hyosung,29800,201805,2003414
20210339,11-Jun-18,20758,Piramal,7576.5,201806,10210281
20211159,12-Oct-18,20029,GE,571704,201810,10210399
20210782,21-Aug-18,20001,Henkel,56250,201808,10210205
20610217,06-Jul-18,21349,GE,1750,201807,10610186
20211080,04-Oct-18,26562,Henkel,1344763.58,201810,10210837
20210316,06-Jun-18,18419,VVF India,30815.59,201806,10210251
20210502,06-Jul-18,21065,Henkel,21500,201807,10210459
20210102,23-Apr-18,19602,JSE,2036087.6,201804,10210103
20210503,06-Jul-18,21150,Henkel,23681,201807,10210403
20210505,06-Jul-18,21210,Nhava Sheva,726.58,201807,10210406
20210504,06-Jul-18,21210,Nhava Sheva,2194,201807,10210406
20210379,15-Jun-18,21097,Piramal,2297.7,201806,10210367
20210736,14-Aug-18,25944,RIL,10800.67,201808,10210748
20210435,26-Jun-18,21325,Piramal,85965,201806,10210432
20210436,26-Jun-18,21176,Piramal,13152.24,201806,10210396
20210438,26-Jun-18,21307,Piramal,9000,201806,10210427
20210439,26-Jun-18,21326,Piramal,32579.4,201806,10210434
20210469,30-Jun-18,20965,Piramal,472750,201806,10210408
20210795,24-Aug-18,26175,GIA India Lab.,33860,201808,10210762
20210758,17-Aug-18,25780,Duroshox,1850,201808,10210757
20210585,20-Jul-18,25387,AMAT,12125,201807,10210581
20210522,11-Jul-18,21228,ZF India,14407,201807,10210439
20210714,09-Aug-18,19190,Maschio,487.2,201808,10210181
20210641,30-Jul-18,21172,ZF India,88000,201807,10210390
20610230,07-Jul-18,25089,GE Power Systems,2500,201807,10610191
20210510,07-Jul-18,19329,Cummins,27279.57,201807,10210117
20910012,14-Jun-18,21107,Bharti Airtel,6920,201806,10910033
20211135,09-Oct-18,26842,Cummins,40501.9,201810,10210905
20210367,14-Jun-18,20135,Godrej,13500,201806,10210273
20210511,09-Jul-18,25234,SSI,8518.95,201807,10210503
20210242,21-May-18,19678,Cummins,28980,201805,10210237
20210652,31-Jul-18,25781,AMAT,20842,201807,10210626
20910024,09-Jul-18,19758,Asahi India Glass,27283.78,201807,10910039
20210150,04-May-18,18446,Cummins,12911.08,201805,10200219
20210976,20-Sep-18,25383,Cummins,399000,201809,10210893
21210023,10-Jul-18,19845,Piramal,10750,201807,11210026
20210794,24-Aug-18,19911,Cummins,61801.09,201808,10210529
20210855,01-Sep-18,26223,AMAT,19211.37,201809,10210767
20210081,20-Apr-18,16885,AMAT,23312.24,201804,2003091
20210147,03-May-18,19360,AMAT,26595.74,201805,10210065
20210519,10-Jul-18,19839,Andhra Electronics,14000,201807,10210385
20210225,18-May-18,19707,AMAT,76595.74,201805,10210187
20610234,11-Jul-18,21487,GE Power Systems,63722.6,201807,10610180
20211232,24-Oct-18,25273,Cummins,37913,201810,10211057
20910009,13-Jun-18,21083,Bharti Airtel,2076,201806,10910032
20210466,30-Jun-18,19892,Cummins,3355.17,201806,10210460
20210523,11-Jul-18,18008,Cummins,37760,201807,10210164
20210480,04-Jul-18,21075,Cummins,10300,201807,10210414
20210717,10-Aug-18,19793,GE,240000,201808,10210243
20210725,14-Aug-18,19190,Maschio,132453,201808,10210181
20610189,28-Jun-18,21121,ABB India,1189.4,201806,10610140
20610390,28-Aug-18,25658,ABB India,17100,201808,10610291
20210474,02-Jul-18,17897,Stanley Engineered,23365,201807,10200196
20210526,11-Jul-18,25237,John Energy,875380,201807,10210505
20610241,11-Jul-18,19294,GE Power Systems,652550,201807,10610022
20210529,12-Jul-18,20131,Henkel,139217.39,201807,10210258
20211007,25-Sep-18,26573,Henkel,105620,201809,10210970
20210528,12-Jul-18,21463,Godrej,3445,201807,10210495
20210698,08-Aug-18,21099,Covestro,57200,201808,10210560
21010017,16-May-18,18679,Henkel,8926.47,201805,10910013
20210531,12-Jul-18,25274,Henkel,99602.11,201807,10210521
20210326,07-Jun-18,20100,AMAT,7263.16,201806,10210267
21010018,17-May-18,18785,Henkel,18644.01,201805,10910014
20610364,21-Aug-18,20823,GE Power Systems,41189.72,201808,10610295
20210950,17-Sep-18,20493,Henkel,19600,201809,10210397
21010019,17-May-18,18679,Henkel,1673.3,201805,10910013
20210551,14-Jul-18,20197,ZF India,15305,201807,10210547
20210605,25-Jul-18,20197,ZF India,10574,201807,10210547
20910025,16-Jul-18,21255,Henkel,202493.87,201807,10910038
20210543,13-Jul-18,21190,Nhava Sheva,4359.4,201807,10210492
20610485,20-Sep-18,25522,GE Power Systems,206700,201809,10610257
20210838,30-Aug-18,26778,JSE,1846304.4,201808,10210834
20210544,13-Jul-18,20721,Stanley Engineered,7505,201807,10210325
20210699,08-Aug-18,21099,Covestro,28700,201808,10210560
20210545,13-Jul-18,21048,Henkel,2126,201807,10210364
20610248,13-Jul-18,21030,GHCL,3150,201807,10610135
20211063,01-Oct-18,27164,Godrej,5885,201810,10210910
20210800,24-Aug-18,20037,Henkel,33000,201808,10210215
20210742,16-Aug-18,26308,APM Terminals,21681,201808,10210740
20210491,05-Jul-18,18428,Cummins,13043.44,201807,10210218
20610251,13-Jul-18,19848,GE Power Systems,10800,201807,10610187
20210548,13-Jul-18,25290,Piramal,10912,201807,10210523
20610207,04-Jul-18,20792,GE Power Systems,2140,201807,10610102
20610208,04-Jul-18,20792,GE Power Systems,2140,201807,10610102
20610209,04-Jul-18,20792,GE Power Systems,2140,201807,10610102
20210542,13-Jul-18,17068,Cummins,14878,201807,10210115
20210393,18-Jun-18,8348,McNally,193783.69,201806,10200237
20210802,27-Aug-18,26117,Henkel,41079,201808,10210709
21210027,14-Jul-18,19944,Piramal,1100,201807,11210010
20210700,08-Aug-18,21295,SSI,194736.84,201808,10210474
20610146,19-Jun-18,21121,ABB India,125574.05,201806,10610140
20210515,09-Jul-18,18468,Cummins,63700,201807,10210208
20210787,22-Aug-18,26535,Trident Computer,218088,201808,10210781
20610403,31-Aug-18,21024,GHCL,32946.06,201808,10610252
20610167,25-Jun-18,21137,ABB India,10387.5,201806,10610171
20210743,16-Aug-18,26248,APM Terminals,25777.4,201808,10210739
20210559,17-Jul-18,20716,Stanley Engineered,6342,201807,10210533
20210396,19-Jun-18,8348,McNally,27677.11,201806,10210416
20210562,17-Jul-18,21190,Nhava Sheva,8291.67,201807,10210492
20610270,19-Jul-18,20917,GE Power Systems,5400,201807,10610111
20210563,17-Jul-18,25307,Stanley Engineered,15450,201807,10210536
20210627,27-Jul-18,21091,Cummins,21136.48,201807,10210568
20211148,11-Oct-18,27679,Piramal,2446.65,201810,10211034
20210458,28-Jun-18,18422,Henkel,103021.6,201806,10200137
20210566,17-Jul-18,25102,SSI,1610.52,201807,10210524
20210747,16-Aug-18,25666,Henkel,140685,201808,10210653
21210029,18-Jul-18,25180,Piramal,7482.54,201807,11210032
21210030,18-Jul-18,25248,Piramal,8140,201807,11210031
20610362,21-Aug-18,26093,GE Power Systems,3600,201808,10610288
20211160,12-Oct-18,27919,ZF India,27582.41,201810,10211090
20210254,23-May-18,17619,Hyosung,29800,201805,2003414
